id,Player,Seasons,Possessions,Rapm
603,Jabari Parker,2017-21,23407,0.03
89,Toney Douglas,2017-21,1538,0.02
136,Sindarius Thornwell,2017-21,7217,0.02
240,Omari Johnson,2017-21,297,0.02
580,Jamel Artis,2017-21,1099,0.02
915,Andrew Wiggins,2017-21,53350,0.02
927,Amile Jefferson,2017-21,573,0.02
80,Tremont Waters,2017-21,1543,0.01
470,Josh Richardson,2017-21,44118,0.01
515,Joel Bolomboy,2017-21,424,0.01
549,Jawun Evans,2017-21,3485,0.01
581,Jameer Nelson,2017-21,12208,0.01
695,Ed Davis,2017-21,18115,0.01
104,Thanasis Antetokounmpo,2017-21,3287,0
474,Josh Magette,2017-21,1011,0
140,Shaun Livingston,2017-21,20989,-0.01
276,Myke Henry,2017-21,1504,-0.01
315,Matthew Dellavedova,2017-21,19879,-0.01
324,Marvin Williams,2017-21,31906,-0.01
560,Jaron Blossomgame,2017-21,1727,-0.01
814,CJ Miles,2017-21,18441,-0.01
135,Skal Labissiere,2017-21,10542,-0.02
144,Shake Milton,2017-21,12392,-0.02
729,Devon Dotson,2017-21,206,-0.02
76,Trevor Ariza,2017-21,48517,-0.03
167,Ryan Anderson,2017-21,20341,-0.03
281,Monte Morris,2017-21,26648,-0.03
942,Alec Burks,2017-21,27093,-0.03
70,Troy Brown Jr.,2017-21,12716,-0.04
134,Skylar Mays,2017-21,1202,-0.04
317,Matt Thomas,2017-21,3965,-0.04
346,Marco Belinelli,2017-21,29391,-0.04
435,Kendrick Perkins,2017-21,60,-0.04
466,Juan Toscano-Anderson,2017-21,5777,-0.04
620,Isaiah Briscoe,2017-21,2263,-0.04
724,Dewayne Dedmon,2017-21,23306,-0.04
12,Yuta Watanabe,2017-21,4109,-0.05
450,Juwan Morgan,2017-21,1879,-0.05
547,Jay Scrubb,2017-21,397,-0.05
343,Marcus Morris Sr.,2017-21,52399,-0.06
781,Dante Exum,2017-21,12366,-0.06
102,Theo Pinson,2017-21,2757,-0.07
662,Garrison Mathews,2017-21,5565,-0.07
790,Damyean Dotson,2017-21,17175,-0.07
802,D.J. Augustin,2017-21,34869,-0.07
43,Vander Blue,2017-21,182,-0.08
313,Maurice Ndour,2017-21,1306,-0.09
550,Javonte Green,2017-21,3908,-0.09
650,Gian Clavell,2017-21,259,-0.09
692,Ekpe Udoh,2017-21,4766,-0.09
874,Boris Diaw,2017-21,6307,-0.09
938,Alex Abrines,2017-21,12806,-0.09
118,Tahjere McCall,2017-21,37,-0.1
261,Nick Young,2017-21,13810,-0.1
465,Juancho Hernangomez,2017-21,17413,-0.1
805,Cory Joseph,2017-21,41327,-0.1
246,Norman Powell,2017-21,38527,-0.11
394,Lamar Patterson,2017-21,152,-0.11
621,Isaac Okoro,2017-21,8673,-0.11
757,DeAndre' Bembry,2017-21,19532,-0.11
772,Darrun Hilliard,2017-21,1844,-0.11
812,Coby White,2017-21,15856,-0.11
286,Mitchell Creek,2017-21,195,-0.12
367,Luka Samanic,2017-21,1444,-0.12
628,Ian Mahinmi,2017-21,12761,-0.12
631,Henry Ellenson,2017-21,3164,-0.12
639,Greg Whittington,2017-21,47,-0.12
953,Aaron Nesmith,2017-21,3338,-0.12
38,Vincent Edwards,2017-21,63,-0.13
77,Trevon Duval,2017-21,21,-0.13
672,Frank Jackson,2017-21,11538,-0.13
718,Dirk Nowitzki,2017-21,16141,-0.13
381,Leandro Barbosa,2017-21,3929,-0.14
928,Amida Brimah,2017-21,127,-0.14
158,Sasha Vujacic,2017-21,1635,-0.15
182,Rodions Kurucs,2017-21,10150,-0.15
230,Pat Connaughton,2017-21,33648,-0.15
464,Julian Washburn,2017-21,997,-0.15
116,Talen Horton-Tucker,2017-21,6226,-0.16
316,Matt Williams Jr.,2017-21,44,-0.16
419,Khyri Thomas,2017-21,1810,-0.16
721,Didi Louzada,2017-21,237,-0.16
264,Nerlens Noel,2017-21,23132,-0.18
863,Brandon Rush,2017-21,4002,-0.18
223,Pau Gasol,2017-21,18318,-0.19
365,Luke Kennard,2017-21,22851,-0.19
830,Charlie Brown Jr.,2017-21,805,-0.19
237,Omri Casspi,2017-21,7703,-0.2
314,Maurice Harkless,2017-21,33304,-0.2
479,Josh Green,2017-21,1833,-0.2
691,Elfrid Payton,2017-21,33638,-0.2
68,Troy Daniels,2017-21,17352,-0.22
569,JaMychal Green,2017-21,34804,-0.22
731,Devin Robinson,2017-21,439,-0.22
910,Anthony Brown,2017-21,624,-0.22
26,Wesley Matthews,2017-21,41792,-0.23
47,Tyson Chandler,2017-21,14689,-0.23
120,T.J. Warren,2017-21,33661,-0.23
218,Paul Watson,2017-21,1691,-0.23
931,Allen Crabbe,2017-21,26360,-0.23
321,Matisse Thybulle,2017-21,13090,-0.24
359,Malcolm Delaney,2017-21,9082,-0.24
540,Jeff Green,2017-21,41822,-0.24
592,Jake Layman,2017-21,12266,-0.24
654,Georges Niang,2017-21,13558,-0.24
861,Brian Bowen II,2017-21,185,-0.24
903,Antonio Blakeney,2017-21,4648,-0.24
247,Noah Vonleh,2017-21,18083,-0.25
253,Nigel Hayes,2017-21,460,-0.25
325,Marvin Bagley III,2017-21,12559,-0.25
913,Angel Delgado,2017-21,63,-0.25
893,Avery Bradley,2017-21,33283,-0.26
16,Xavier Silas,2017-21,29,-0.27
92,Timothe Luwawu-Cabarrot,2017-21,20309,-0.27
113,Taurean Prince,2017-21,33667,-0.27
270,Nate Wolters,2017-21,66,-0.27
489,Jordan Hill,2017-21,170,-0.27
490,Jordan Farmar,2017-21,137,-0.27
930,Allonzo Trier,2017-21,7223,-0.27
54,Tyler Ulis,2017-21,11463,-0.28
538,Jeff Withey,2017-21,1992,-0.28
556,Jarrett Culver,2017-21,8524,-0.28
99,Thomas Welsh,2017-21,157,-0.29
280,Montrezl Harrell,2017-21,36525,-0.29
329,Marquis Teague,2017-21,296,-0.29
843,Cameron Oliver,2017-21,368,-0.29
908,Anthony Edwards,2017-21,9712,-0.29
406,Kyle Alexander,2017-21,59,-0.3
29,Wenyen Gabriel,2017-21,2285,-0.31
143,Shamorie Ponds,2017-21,41,-0.31
484,Jordan Nwora,2017-21,1413,-0.31
599,Jacob Wiley,2017-21,135,-0.31
837,Cassius Stanley,2017-21,384,-0.31
847,Caleb Martin,2017-21,4511,-0.31
404,Kyle Collinsworth,2017-21,1880,-0.32
410,Kris Dunn,2017-21,22710,-0.32
471,Josh Reaves,2017-21,187,-0.32
563,Jarell Martin,2017-21,10283,-0.32
637,Guerschon Yabusele,2017-21,2449,-0.32
862,Brandon Sampson,2017-21,850,-0.32
268,Naz Mitrou-Long,2017-21,542,-0.33
312,Max Strus,2017-21,2071,-0.33
327,Marshall Plumlee,2017-21,893,-0.33
600,Jacob Pullen,2017-21,27,-0.33
816,CJ Elleby,2017-21,885,-0.33
857,Brodric Thomas,2017-21,1631,-0.33
51,Tyrell Terry,2017-21,229,-0.34
336,Markel Brown,2017-21,120,-0.34
616,Isaiah Joe,2017-21,1659,-0.34
875,Bonzie Colson,2017-21,442,-0.34
892,Axel Toupane,2017-21,518,-0.34
342,Marcus Paige,2017-21,108,-0.35
345,Marcus Derrickson,2017-21,263,-0.35
888,Ben McLemore,2017-21,21712,-0.35
69,Troy Caupain,2017-21,58,-0.36
75,Trevor Booker,2017-21,12429,-0.36
173,Roy Hibbert,2017-21,2713,-0.36
14,Yante Maten,2017-21,53,-0.37
129,Stanton Kidd,2017-21,67,-0.37
252,Nigel Williams-Goss,2017-21,222,-0.37
356,Malik Fitts,2017-21,41,-0.37
366,Luke Babbitt,2017-21,7044,-0.37
475,Josh Jackson,2017-21,24517,-0.37
594,Jahmi'us Ramsey,2017-21,401,-0.37
606,J.P. Macura,2017-21,70,-0.37
704,Dusty Hannahs,2017-21,167,-0.37
735,DeVaughn Akoon-Purcell,2017-21,88,-0.37
864,Brandon Paul,2017-21,2337,-0.37
78,Treveon Graham,2017-21,12530,-0.38
901,Anzejs Pasecniks,2017-21,1875,-0.38
282,Monta Ellis,2017-21,8493,-0.39
546,Jaylen Adams,2017-21,1916,-0.39
50,Tyrese Haliburton,2017-21,7248,-0.4
579,James Ennis III,2017-21,30286,-0.4
703,Dwayne Bacon,2017-21,16280,-0.4
806,Corey Brewer,2017-21,13694,-0.4
809,Cole Aldrich,2017-21,2279,-0.4
841,Cameron Reynolds,2017-21,1233,-0.4
41,Vic Law,2017-21,283,-0.41
183,Robin Lopez,2017-21,33984,-0.41
384,Larry Sanders,2017-21,51,-0.41
527,Jevon Carter,2017-21,9295,-0.41
531,Jeremy Pargo,2017-21,177,-0.41
647,Goga Bitadze,2017-21,4391,-0.41
736,Desmond Bane,2017-21,7104,-0.41
786,Daniel Oturu,2017-21,730,-0.41
796,Dakota Mathias,2017-21,513,-0.41
804,Courtney Lee,2017-21,22059,-0.41
401,Kyle Kuzma,2017-21,39169,-0.42
507,John Lucas III,2017-21,42,-0.42
832,Channing Frye,2017-21,10855,-0.42
42,Vernon Carey Jr.,2017-21,453,-0.43
436,Kendrick Nunn,2017-21,17187,-0.43
544,Jaylen Hoard,2017-21,1945,-0.43
625,Iman Shumpert,2017-21,19183,-0.43
799,Dahntay Jones,2017-21,308,-0.43
122,T.J. Leaf,2017-21,5296,-0.44
273,Nassir Little,2017-21,5057,-0.44
333,Marko Guduric,2017-21,2052,-0.44
399,Kyle O'Quinn,2017-21,13251,-0.44
659,Gary Neal,2017-21,73,-0.44
699,Dwyane Wade,2017-21,23577,-0.44
768,David Stockton,2017-21,83,-0.44
60,Tyler Davis,2017-21,1,-0.45
184,Robert Woodard II,2017-21,190,-0.45
284,Miye Oni,2017-21,2966,-0.45
934,Alexis Ajinca,2017-21,2356,-0.45
260,Nickeil Alexander-Walker,2017-21,6638,-0.46
352,Mangok Mathiang,2017-21,83,-0.46
358,Malcolm Miller,2017-21,1761,-0.46
453,Justin Wright-Foreman,2017-21,181,-0.46
667,Freddie Gillespie,2017-21,1593,-0.46
536,Jerami Grant,2017-21,47448,-0.47
698,Dylan Windler,2017-21,2101,-0.47
267,Naz Reid,2017-21,7824,-0.48
713,Donta Hall,2017-21,1461,-0.48
788,Daniel Hamilton,2017-21,956,-0.48
906,Anthony Lamb,2017-21,1755,-0.48
33,Walt Lemon Jr.,2017-21,833,-0.49
59,Tyler Dorsey,2017-21,6905,-0.49
149,Sergio Rodriguez,2017-21,6095,-0.49
